FBID,gene_name,gene_type,position,sex_fixed_effect_pvalue,sex_fdr,sex_by_line_pvalue,sex_by_line_fdr,sex_by_line_variance_component,between_line_variance_component,between_line_pvalue,between_line_fdr,within_line_variance_component
FBgn0263316,Mrp4,protein_coding,3R:7394972..7401659,2.27E-79,5.35E-79,2.85E-01,5.56E-01,0.0105,0.3234,8.11E-59,1.04E-56,0.2611
FBgn0263320,CG43401,protein_coding,2L:1428510..1428981,7.00E-40,1.28E-39,2.81E-04,4.16E-03,0.1508,0.0000,2.35E-02,5.26E-02,0.5833
FBgn0263321,CG43402,protein_coding,2L:1442726..1443316,1.28E-03,1.50E-03,2.60E-10,1.81E-08,0.2392,0.3372,5.99E-35,3.06E-33,0.4143
FBgn0263322,CG43403,protein_coding,2L:2620187..2620782,5.58E-08,7.27E-08,2.88E-04,4.24E-03,0.1975,0.0223,1.74E-03,5.73E-03,0.7336
FBgn0263323,CG43404,protein_coding,2L:9364297..9364991,9.95E-80,2.36E-79,1.38E-01,3.74E-01,0.0308,0.0083,1.31E-01,2.05E-01,0.4929
FBgn0263324,CG43405,protein_coding,2R:17841120..17842402,1.39E-149,5.11E-149,4.13E-01,6.65E-01,0.0000,0.0000,4.30E-01,5.08E-01,0.2728
FBgn0263325,CG43406,protein_coding,2L:18251407..18252697,5.09E-08,6.63E-08,9.92E-01,9.97E-01,0.0000,0.0132,3.34E-01,4.19E-01,0.9489
FBgn0263326,CG43407,protein_coding,3L:19046122..19046489,2.29E-63,4.90E-63,4.08E-01,6.60E-01,0.0289,0.0000,1.23E-01,1.95E-01,0.5982
FBgn0263327,CR43408,ncRNA,2L:18256531..18257174,3.84E-66,8.36E-66,5.32E-02,2.11E-01,0.0599,0.0021,1.18E-01,1.88E-01,0.5366
FBgn0263328,CR43409,ncRNA,2L:11290632..11291077,1.71E-19,2.61E-19,2.08E-01,4.73E-01,0.0410,0.0330,3.95E-02,7.97E-02,0.8107
FBgn0263329,CR43410,ncRNA,2L:13632676..13633166,2.09E-121,6.34E-121,7.30E-01,8.66E-01,0.0000,0.0091,2.15E-01,2.99E-01,0.3608
FBgn0263330,CR43411,ncRNA,2L:14613258..14613621,4.82E-01,5.00E-01,7.21E-01,8.63E-01,0.0000,0.1088,2.85E-04,1.15E-03,0.8924
FBgn0263331,CR43412,ncRNA,2L:15989756..15989957,2.00E-13,2.82E-13,1.29E-02,8.20E-02,0.1189,0.0000,6.09E-02,1.12E-01,0.8007
FBgn0263332,CR43413,ncRNA,2L:18200336..18201135,3.47E-01,3.63E-01,1.66E-01,4.17E-01,0.0574,0.0000,3.24E-01,4.09E-01,0.9429
FBgn0263333,CR43414,ncRNA,2L:20296643..20297299,6.76E-123,2.07E-122,5.40E-07,1.94E-05,0.0894,0.0000,1.33E-03,4.52E-03,0.2175
FBgn0263334,CR43415,ncRNA,2R:11965700..11966324,3.54E-58,7.32E-58,4.75E-01,7.10E-01,0.0000,0.0000,6.67E-01,7.13E-01,0.6664
FBgn0263335,CR43416,ncRNA,2R:12245242..12245986,1.50E-30,2.53E-30,1.52E-01,3.95E-01,0.0463,0.0000,3.44E-01,4.29E-01,0.7699
FBgn0263336,CR43417,ncRNA,2R:12705024..12706745,2.66E-55,5.41E-55,6.87E-02,2.49E-01,0.0525,0.1037,6.86E-09,5.71E-08,0.4924
FBgn0263337,CR43418,ncRNA,2R:14702443..14703146,2.08E-114,6.05E-114,8.84E-03,6.23E-02,0.0551,0.0000,3.29E-02,6.88E-02,0.3073
FBgn0263338,CR43419,ncRNA,2L:17792412..17793694,1.07E-44,2.03E-44,5.11E-02,2.05E-01,0.0659,0.0000,2.11E-01,2.96E-01,0.6572
FBgn0263339,CR43420,ncRNA,2L:17893812..17894734,6.22E-23,9.82E-23,8.62E-02,2.87E-01,0.0707,0.0398,9.85E-03,2.54E-02,0.7472
FBgn0263340,CR43421,ncRNA,2R:15827387..15828049,4.83E-12,6.70E-12,3.69E-02,1.68E-01,0.0625,0.0000,6.47E-01,6.96E-01,0.8705
FBgn0263341,CR43422,ncRNA,2R:18179222..18179900,6.82E-04,8.05E-04,5.19E-03,4.20E-02,0.1576,0.0123,1.70E-02,4.02E-02,0.8137
FBgn0263342,CR43423,ncRNA,3L:637486..638568,6.46E-06,8.06E-06,4.75E-01,7.10E-01,0.0000,0.0000,2.62E-01,3.48E-01,0.9731
FBgn0263343,CR43424,ncRNA,3R:810220..811842,4.08E-121,1.23E-120,1.38E-01,3.73E-01,0.0211,0.0389,1.46E-05,7.69E-05,0.2793
FBgn0263344,CR43425,ncRNA,4:888450..892052,2.58E-119,7.74E-119,9.36E-01,9.71E-01,0.0000,0.0188,5.15E-02,9.87E-02,0.3644
FBgn0263345,CR43426,ncRNA,3L:22843211..22846868,1.16E-36,2.06E-36,2.68E-01,5.39E-01,0.0034,0.0000,7.08E-01,7.48E-01,0.7828
FBgn0263351,AP-50,protein_coding,3R:18288177..18290325,8.69E-119,2.60E-118,9.24E-05,1.64E-03,0.0726,0.0102,4.94E-04,1.88E-03,0.2452
FBgn0263352,Unr,protein_coding,3L:8425658..8435481,2.00E-211,1.19E-210,1.78E-01,4.34E-01,0.0073,0.0000,2.81E-01,3.68E-01,0.1239
FBgn0263353,CG11000,protein_coding,3R:1628050..1638980,5.00E-190,2.47E-189,4.09E-01,6.61E-01,0.0015,0.0131,4.74E-03,1.36E-02,0.1508
FBgn0263354,CG42784,protein_coding,2L:13415677..13500549,5.04E-271,5.46E-270,9.88E-01,9.95E-01,0.0000,0.0026,1.18E-01,1.89E-01,0.0690
FBgn0263355,CG31688,protein_coding,2L:20426199..20447905,2.08E-95,5.39E-95,1.68E-02,9.93E-02,0.0410,0.1267,6.46E-22,1.58E-20,0.2648
FBgn0263376,CR43428,ncRNA,2R:10625083..10626747,2.87E-04,3.43E-04,8.60E-01,9.34E-01,0.0000,0.0000,9.43E-01,9.49E-01,0.9837
FBgn0263377,CR43429,ncRNA,2R:11570074..11572438,1.70E-93,4.36E-93,4.83E-01,7.15E-01,0.0154,0.0000,1.67E-01,2.46E-01,0.4630
FBgn0263378,CR43430,ncRNA,2R:15287274..15288840,0.00E+00,5.97E-308,1.93E-02,1.09E-01,0.0052,0.0000,5.88E-02,1.09E-01,0.0329
FBgn0263379,CR43431,ncRNA,3L:12642456..12648684,3.09E-25,4.97E-25,8.82E-01,9.45E-01,0.0000,0.0000,5.30E-01,5.95E-01,0.8614
FBgn0263380,CR43432,ncRNA,3L:14969726..14970731,2.49E-20,3.83E-20,5.85E-01,7.84E-01,0.0000,0.0000,6.42E-01,6.92E-01,0.8884
FBgn0263381,CR43433,ncRNA,3L:17159963..17160642,8.23E-98,2.16E-97,2.00E-02,1.12E-01,0.0520,0.0216,1.59E-03,5.31E-03,0.3547
FBgn0263382,CR43434,ncRNA,3R:22254312..22254895,1.83E-14,2.63E-14,8.06E-01,9.06E-01,0.0000,0.0000,7.73E-01,8.04E-01,0.9245
FBgn0263383,CR43435,ncRNA,3R:2603839..2604674,8.36E-161,3.32E-160,6.44E-01,8.18E-01,0.0000,0.0000,1.58E-01,2.37E-01,0.2407
FBgn0263384,CR43436,ncRNA,3R:27592846..27593512,5.36E-81,1.28E-80,2.81E-02,1.40E-01,0.0549,0.0000,2.24E-01,3.09E-01,0.4659
FBgn0263385,CR43437,ncRNA,4:446693..447227,3.13E-197,1.64E-196,5.86E-01,7.84E-01,0.0000,0.0126,4.98E-03,1.42E-02,0.1420
FBgn0263386,CG43438,protein_coding,2L:11536145..11536844,7.80E-20,1.19E-19,4.20E-01,6.70E-01,0.0087,0.0000,5.21E-01,5.87E-01,0.8796
FBgn0263388,CG43440,protein_coding,3R:24419210..24420146,1.28E-58,2.65E-58,5.38E-01,7.54E-01,0.0000,0.0000,2.72E-01,3.59E-01,0.6588
FBgn0263389,CG43441,protein_coding,3R:5478381..5478950,3.24E-54,6.54E-54,1.19E-05,2.87E-04,0.1197,0.0000,5.82E-01,6.42E-01,0.5295
FBgn0263390,Nha2,protein_coding,3R:18807181..18824425,7.03E-09,9.32E-09,9.41E-01,9.72E-01,0.0000,0.0901,1.41E-03,4.77E-03,0.8708
FBgn0263391,hts,protein_coding,2R:15284537..15312454,2.05E-95,5.31E-95,4.60E-01,6.99E-01,0.0034,0.0553,5.37E-05,2.54E-04,0.3970
FBgn0263392,CG43444,protein_coding,3L:2786206..2879158,8.42E-216,5.23E-215,2.90E-02,1.43E-01,0.0118,0.0140,4.49E-07,3.01E-06,0.0858
FBgn0263395,hppy,protein_coding,2R:15066259..15114705,1.56E-37,2.79E-37,2.34E-01,5.04E-01,0.0308,0.0673,6.11E-04,2.29E-03,0.6697
FBgn0263396,sqd,protein_coding,3R:9460584..9472026,4.50E-229,3.16E-228,4.22E-02,1.83E-01,0.0101,0.0038,9.97E-03,2.56E-02,0.0857
FBgn0263397,Ih,protein_coding,2R:10163809..10187674,1.58E-129,5.03E-129,2.58E-01,5.31E-01,0.0134,0.0166,1.90E-02,4.40E-02,0.2921
FBgn0263398,CG6364,protein_coding,3R:20115894..20119093,5.42E-77,1.26E-76,4.77E-01,7.11E-01,0.0000,0.0000,8.17E-01,8.41E-01,0.5708
FBgn0263399,CG43445,protein_coding,3R:13737098..13737767,3.05E-11,4.18E-11,7.88E-01,8.97E-01,0.0000,0.0000,6.09E-01,6.64E-01,0.9430
FBgn0263400,CG43446,protein_coding,3R:16812226..16813658,9.82E-10,1.32E-09,5.64E-01,7.71E-01,0.0000,0.0000,5.68E-01,6.29E-01,0.9512
FBgn0263401,CG43447,protein_coding,3R:23266034..23266567,5.60E-44,1.05E-43,2.49E-03,2.41E-02,0.1227,0.0000,4.27E-02,8.49E-02,0.5918
FBgn0263402,CG43448,protein_coding,3R:26062816..26063456,1.15E-01,1.24E-01,7.51E-01,8.77E-01,0.0000,0.0470,6.41E-02,1.17E-01,0.9513
FBgn0263403,CG43449,protein_coding,3R:6914142..6915078,6.85E-175,3.01E-174,7.08E-10,4.57E-08,0.0550,0.0000,4.72E-03,1.36E-02,0.1110
FBgn0263404,CG43450,protein_coding,3R:8021016..8021296,4.09E-136,1.36E-135,6.03E-01,7.94E-01,0.0000,0.0187,2.57E-02,5.64E-02,0.2900
FBgn0263405,CR43451,ncRNA,3R:15114079..15115018,8.16E-26,1.32E-25,5.62E-23,1.79E-20,0.4237,0.0051,7.51E-09,6.21E-08,0.3605
FBgn0263406,CR43452,ncRNA,3R:16503905..16504801,4.95E-09,6.58E-09,6.49E-01,8.21E-01,0.0000,0.0454,5.20E-02,9.93E-02,0.9109
FBgn0263407,CR43453,ncRNA,3R:17291423..17292214,1.85E-06,2.33E-06,8.10E-09,4.24E-07,0.3174,0.0176,3.40E-05,1.68E-04,0.6258
FBgn0263408,CR43454,ncRNA,3R:18822176..18823507,2.75E-61,5.81E-61,3.31E-01,5.99E-01,0.0088,0.0000,5.93E-01,6.51E-01,0.6359
FBgn0263409,CR43455,ncRNA,3R:20265589..20266191,1.26E-70,2.81E-70,8.87E-01,9.48E-01,0.0000,0.0313,4.68E-02,9.15E-02,0.5687
FBgn0263410,CR43456,ncRNA,3R:21327549..21328299,2.52E-135,8.36E-135,1.05E-09,6.58E-08,0.0920,0.0000,1.13E-04,4.98E-04,0.1665
FBgn0263411,CR43457,ncRNA,3R:21328507..21328943,2.37E-06,2.98E-06,3.09E-01,5.78E-01,0.0367,0.0000,2.82E-01,3.68E-01,0.9334
FBgn0263412,CR43458,ncRNA,3R:26958052..26958772,8.89E-12,1.23E-11,3.45E-06,9.94E-05,0.2328,0.0769,1.64E-07,1.16E-06,0.6149
FBgn0263413,CR43459,ncRNA,3R:5919484..5925937,6.39E-138,2.16E-137,3.38E-01,6.04E-01,0.0061,0.0262,6.08E-04,2.28E-03,0.2597
FBgn0263414,CR43460,ncRNA,3R:9797455..9800397,1.09E-42,2.03E-42,4.24E-02,1.83E-01,0.0704,0.0760,1.10E-05,5.91E-05,0.5790
FBgn0263415,CR43461,ncRNA,X:6626750..6629950,3.81E-02,4.22E-02,4.38E-01,6.84E-01,0.0000,0.0000,5.53E-01,6.16E-01,0.9955
FBgn0263416,CG43462,protein_coding,3R:4190040..4303315,1.67E-296,2.53E-295,5.11E-01,7.35E-01,0.0000,0.0040,3.17E-03,9.67E-03,0.0429
FBgn0263441,CR43464,ncRNA,2L:1998628..2004284,1.51E-97,3.96E-97,7.03E-02,2.52E-01,0.0349,0.0380,1.66E-04,7.10E-04,0.3586
FBgn0263442,CR43465,ncRNA,2L:5969859..5971022,1.39E-91,3.53E-91,4.23E-01,6.72E-01,0.0000,0.0000,4.15E-01,4.94E-01,0.4914
FBgn0263443,CR43466,ncRNA,2R:20768653..20769340,2.39E-09,3.19E-09,3.68E-01,6.27E-01,0.0000,0.0000,2.79E-01,3.65E-01,0.9513
FBgn0263444,CR43467,ncRNA,2R:6026767..6029579,1.93E-13,2.72E-13,4.90E-01,7.21E-01,0.0000,0.0000,2.02E-01,2.85E-01,0.9264
FBgn0263445,CR43468,ncRNA,2R:8762671..8764785,3.48E-12,4.83E-12,1.11E-01,3.30E-01,0.0448,0.0000,5.10E-01,5.78E-01,0.8881
FBgn0263446,CR43469,ncRNA,2R:8760261..8762592,5.20E-08,6.78E-08,2.36E-02,1.24E-01,0.0768,0.0000,5.85E-01,6.44E-01,0.8815
FBgn0263447,CR43470,ncRNA,3L:7243740..7245698,1.82E-06,2.30E-06,2.30E-01,5.00E-01,0.0381,0.0000,3.85E-01,4.66E-01,0.9307
FBgn0263448,CR43471,ncRNA,3R:11056558..11057225,1.38E-09,1.85E-09,7.24E-01,8.65E-01,0.0000,0.0000,4.74E-01,5.46E-01,0.9525
FBgn0263449,CR43472,ncRNA,3R:11994070..11994876,8.00E-44,1.50E-43,4.74E-01,7.09E-01,0.0000,0.0000,8.54E-01,8.73E-01,0.7506
FBgn0263451,CR43474,ncRNA,3R:18455297..18456393,1.19E-69,2.65E-69,4.11E-01,6.63E-01,0.0089,0.0614,2.87E-04,1.16E-03,0.5137
FBgn0263452,CR43475,ncRNA,3R:18454519..18455021,3.33E-66,7.24E-66,1.46E-07,5.88E-06,0.1502,0.0636,2.10E-10,2.07E-09,0.3353
FBgn0263453,CR43476,ncRNA,3R:23192502..23195587,2.67E-12,3.72E-12,1.33E-01,3.66E-01,0.0408,0.0000,5.48E-01,6.11E-01,0.8919
FBgn0263454,CR43477,ncRNA,3R:8051046..8054489,4.79E-01,4.97E-01,9.00E-02,2.94E-01,0.0104,0.0000,7.85E-01,8.15E-01,0.9903
FBgn0263456,nwk,protein_coding,3L:9130960..9138793,1.46E-246,1.22E-245,8.76E-01,9.42E-01,0.0000,0.0057,2.21E-02,4.99E-02,0.0851
FBgn0263457,CR43480,ncRNA,XHet:69142..72427,2.73E-13,3.86E-13,3.01E-01,5.70E-01,0.0089,0.0000,6.94E-01,7.36E-01,0.9196
FBgn0263459,snoRNA:2R:9445410,snoRNA,2R:9445410..9445560,1.38E-01,1.49E-01,1.13E-01,3.33E-01,0.0000,0.0000,8.05E-01,8.30E-01,0.9987
FBgn0263461,snoRNA:CG32479-a,snoRNA,3L:891250..891475,2.26E-04,2.71E-04,2.89E-01,5.59E-01,0.0311,0.1094,7.50E-05,3.43E-04,0.8438
FBgn0263462,snoRNA:Dek-a,snoRNA,2R:12744918..12745083,3.58E-29,5.99E-29,3.58E-02,1.65E-01,0.0845,0.0813,1.58E-05,8.30E-05,0.6471
FBgn0263463,snoRNA:gcl-a,snoRNA,2R:4612410..4612570,5.06E-12,7.01E-12,1.03E-02,6.96E-02,0.1417,0.0000,3.00E-02,6.39E-02,0.7866
FBgn0263464,snoRNA:hts-a,snoRNA,2R:15301860..15301995,7.71E-02,8.42E-02,4.14E-01,6.65E-01,0.0151,0.0576,2.24E-02,5.05E-02,0.9248
FBgn0263465,snoRNA:kis-a,snoRNA,2L:232166..232253,1.45E-10,1.97E-10,5.59E-01,7.67E-01,0.0000,0.0852,2.22E-03,7.09E-03,0.8632
FBgn0263466,snoRNA:lola-a,snoRNA,2R:6424000..6424165,4.29E-03,4.94E-03,4.18E-01,6.68E-01,0.0147,0.0545,2.79E-02,6.02E-02,0.9216
FBgn0263467,snoRNA:nop5-x16-a,snoRNA,2L:6917210..6917310,1.48E-01,1.59E-01,5.80E-01,7.81E-01,0.0000,0.0000,5.87E-01,6.45E-01,0.9985
FBgn0263468,snoRNA:SC35-a,snoRNA,2L:12432798..12432950,1.96E-16,2.87E-16,1.71E-01,4.23E-01,0.0431,0.2228,8.03E-15,1.17E-13,0.6538
FBgn0263469,snoRNA:SC35-b,snoRNA,2L:12433025..12433180,1.83E-18,2.75E-18,3.86E-01,6.43E-01,0.0155,0.0635,5.52E-03,1.55E-02,0.8151
FBgn0263470,snoRNA:Tudor-SN-a,snoRNA,3L:259970..260280,8.83E-12,1.22E-11,3.18E-01,5.87E-01,0.0000,0.0000,4.95E-01,5.66E-01,0.9370
FBgn0263472,snoRNA:2R:9445205,snoRNA,2R:9445205..9445355,4.25E-04,5.04E-04,3.27E-01,5.96E-01,0.0165,0.0000,5.44E-01,6.08E-01,0.9683
FBgn0263473,snoRNA:abba-a,snoRNA,2R:14882201..14882347,6.53E-06,8.14E-06,7.84E-01,8.94E-01,0.0000,0.0919,1.49E-03,5.00E-03,0.8848
FBgn0263474,snoRNA:bur-a,snoRNA,2L:21177025..21177175,3.68E-01,3.85E-01,9.67E-02,3.06E-01,0.0653,0.0000,3.71E-01,4.54E-01,0.9350
FBgn0263475,snoRNA:CG16892-a,snoRNA,X:9168747..9168895,1.04E-02,1.17E-02,9.87E-01,9.94E-01,0.0000,0.0358,1.12E-01,1.81E-01,0.9571
FBgn0263476,snoRNA:CG32479-b,snoRNA,3L:890270..890490,1.44E-01,1.55E-01,2.05E-01,4.68E-01,0.0488,0.0753,1.77E-03,5.83E-03,0.8748
FBgn0263477,snoRNA:dmt-a,snoRNA,3R:5539325..5539485,1.68E-26,2.74E-26,4.88E-01,7.19E-01,0.0033,0.0850,7.09E-04,2.62E-03,0.7564
FBgn0263478,snoRNA:Edc3-a,snoRNA,3L:17521800..17521940,1.10E-02,1.24E-02,4.23E-01,6.72E-01,0.0000,0.0000,2.63E-01,3.49E-01,0.9926
FBgn0263479,snoRNA:gp210-a,snoRNA,2R:1652680..1652825,1.93E-02,2.16E-02,4.88E-03,4.03E-02,0.1002,0.0000,5.19E-01,5.86E-01,0.8934
FBgn0263480,snoRNA:Irbp-a,snoRNA,3R:7236570..7236719,3.08E-08,4.03E-08,5.36E-01,7.53E-01,0.0000,0.0000,1.86E-01,2.68E-01,0.9588
FBgn0263481,snoRNA:lola-b,snoRNA,2R:6424250..6424410,4.82E-02,5.31E-02,2.33E-01,5.03E-01,0.0401,0.1794,2.41E-09,2.11E-08,0.7776
FBgn0263482,snoRNA:lola-c,snoRNA,2R:6424455..6424625,8.64E-06,1.07E-05,9.75E-01,9.89E-01,0.0000,0.0467,6.34E-02,1.16E-01,0.9294
FBgn0263483,snoRNA:lola-d,snoRNA,2R:6424640..6424775,9.29E-01,9.35E-01,1.30E-01,3.62E-01,0.0686,0.0361,2.76E-02,5.98E-02,0.8970
FBgn0263484,snoRNA:Pi4KIIalpha-a,snoRNA,3R:1385600..1385760,4.92E-13,6.92E-13,8.45E-01,9.27E-01,0.0000,0.1057,2.09E-04,8.72E-04,0.8321
FBgn0263485,snoRNA:Prp8-a,snoRNA,2R:8048631..8048809,1.04E-11,1.43E-11,8.94E-01,9.51E-01,0.0000,0.0000,7.42E-01,7.78E-01,0.9404
FBgn0263486,snoRNA:skd-a,snoRNA,3L:20999450..20999625,4.28E-01,4.45E-01,6.04E-01,7.95E-01,0.0000,0.0985,9.05E-04,3.24E-03,0.9025
FBgn0263487,snoRNA:tra2-a,snoRNA,2R:10490492..10490630,2.42E-02,2.70E-02,5.74E-01,7.77E-01,0.0000,0.0000,6.72E-01,7.17E-01,0.9945
FBgn0263488,unsRNA:CG10576-a,ncRNA,3L:5757961..5758146,5.40E-09,7.17E-09,5.18E-01,7.41E-01,0.0000,0.4206,1.06E-36,6.01E-35,0.5533
FBgn0263489,unsRNA:d-a,ncRNA,2L:8485725..8485925,3.41E-12,4.74E-12,4.04E-01,6.58E-01,0.0131,0.1294,6.02E-06,3.38E-05,0.7973
FBgn0263490,mld,protein_coding,3R:20411375..20449621,1.95E-259,1.89E-258,1.62E-02,9.69E-02,0.0083,0.0058,3.33E-05,1.65E-04,0.0524
FBgn0263492,CR43481,ncRNA,3L:9373013..9374219,1.71E-01,1.83E-01,7.55E-01,8.80E-01,0.0000,0.0068,3.85E-01,4.66E-01,0.9921
FBgn0263495,CR43484,ncRNA,3L:3688786..3689409,2.64E-31,4.50E-31,1.63E-08,7.99E-07,0.2427,0.0392,9.11E-07,5.82E-06,0.4901
FBgn0263496,CR43485,ncRNA,3L:3693750..3694227,2.51E-07,3.22E-07,3.89E-01,6.45E-01,0.0000,0.0000,4.27E-01,5.05E-01,0.9650
FBgn0263497,CR43486,ncRNA,3R:1952199..1952598,6.61E-25,1.06E-24,9.97E-01,9.99E-01,0.0000,0.0087,2.79E-01,3.65E-01,0.8575
FBgn0263498,CR43487,ncRNA,3R:1952951..1953677,1.02E-40,1.87E-40,2.60E-04,3.91E-03,0.1511,0.0000,2.25E-02,5.07E-02,0.5777
FBgn0263499,CR43488,ncRNA,3R:15569511..15570199,3.86E-29,6.46E-29,4.01E-02,1.77E-01,0.0806,0.0000,2.21E-01,3.06E-01,0.7391
FBgn0263500,CR43489,ncRNA,3R:13111964..13112960,6.23E-131,2.01E-130,4.97E-02,2.02E-01,0.0295,0.0183,1.87E-03,6.11E-03,0.2572
FBgn0263501,CR43490,ncRNA,3R:13113510..13114540,3.56E-26,5.78E-26,2.04E-01,4.67E-01,0.0000,0.0000,4.03E-01,4.83E-01,0.8454
FBgn0263502,CR43491,ncRNA,X:17272409..17273037,1.28E-04,1.54E-04,2.11E-01,4.76E-01,0.0000,0.0080,1.35E-01,2.09E-01,0.9738
FBgn0263503,CR43492,ncRNA,X:18480251..18481252,6.45E-07,8.23E-07,7.47E-02,2.62E-01,0.0876,0.0012,1.55E-01,2.33E-01,0.8762
FBgn0263504,CR43493,ncRNA,X:21889690..21892708,2.10E-05,2.58E-05,2.82E-01,5.54E-01,0.0352,0.0626,8.21E-03,2.18E-02,0.8793
FBgn0263505,CR43494,ncRNA,X:2644952..2645449,7.99E-01,8.10E-01,8.50E-01,9.30E-01,0.0000,0.0139,3.07E-01,3.92E-01,0.9874
FBgn0263506,CR43495,ncRNA,X:4768033..4768415,3.41E-15,4.93E-15,4.90E-01,7.20E-01,0.0011,0.0359,1.03E-01,1.71E-01,0.8788
FBgn0263507,CR43496,ncRNA,X:6652643..6653524,3.30E-04,3.93E-04,8.87E-01,9.48E-01,0.0000,0.0097,3.77E-01,4.59E-01,0.9743
FBgn0263508,CR43497,ncRNA,X:9396859..9400533,1.50E-40,2.74E-40,3.32E-01,6.01E-01,0.0163,0.0162,1.76E-01,2.57E-01,0.7240
FBgn0263509,CR43498,ncRNA,X:9621955..9622521,1.08E-87,2.68E-87,2.94E-01,5.63E-01,0.0163,0.0140,1.05E-01,1.72E-01,0.4693
FBgn0263510,nclb,protein_coding,2R:6763253..6764801,1.04E-250,9.04E-250,7.93E-03,5.73E-02,0.0110,0.0017,1.06E-02,2.71E-02,0.0625
FBgn0263511,Vsx1,protein_coding,X:5488306..5506848,1.51E-226,1.03E-225,1.02E-01,3.16E-01,0.0083,0.0034,3.09E-02,6.55E-02,0.0938
FBgn0263512,Vsx2,protein_coding,X:5422926..5454350,1.60E-26,2.60E-26,2.26E-01,4.95E-01,0.0391,0.0210,9.69E-02,1.62E-01,0.7804
FBgn0263515,mir-4983,pre_miRNA,2R:15524919..15525026,7.58E-08,9.84E-08,7.11E-01,8.57E-01,0.0000,0.0000,9.83E-01,9.85E-01,0.9628
FBgn0263516,mir-4958,pre_miRNA,X:15974956..15975089,9.22E-03,1.05E-02,3.95E-01,6.50E-01,0.0000,0.0000,2.30E-01,3.15E-01,0.9922
FBgn0263518,mir-4975,pre_miRNA,2R:2594668..2594778,7.19E-04,8.47E-04,9.76E-02,3.08E-01,0.0676,0.0000,2.39E-01,3.24E-01,0.9174
FBgn0263519,mir-4964,pre_miRNA,X:8859834..8859945,2.90E-03,3.35E-03,4.93E-01,7.22E-01,0.0445,0.0000,7.90E-02,1.38E-01,0.9453
FBgn0263520,mir-4945,pre_miRNA,3R:7267914..7268028,2.00E-08,2.63E-08,5.98E-01,7.91E-01,0.0000,0.0809,3.51E-03,1.06E-02,0.8804
FBgn0263521,mir-4969,pre_miRNA,3R:17624236..17624393,4.62E-07,5.91E-07,9.50E-02,3.03E-01,0.0729,0.0194,6.42E-02,1.17E-01,0.8722
FBgn0263522,mir-4982,pre_miRNA,2R:14607674..14607792,9.69E-01,9.73E-01,2.04E-01,4.68E-01,0.0000,0.0000,9.54E-01,9.59E-01,1.0014
FBgn0263523,mir-4972,pre_miRNA,2L:3636967..3637073,3.97E-01,4.14E-01,5.97E-01,7.90E-01,0.0000,0.0000,2.09E-01,2.93E-01,1.0004
FBgn0263525,mir-4911,pre_miRNA,3R:11662009..11662076,5.05E-01,5.22E-01,3.54E-01,6.16E-01,0.0000,0.0000,3.84E-01,4.65E-01,1.0008
FBgn0263527,mir-4908,pre_miRNA,3R:26332551..26332609,8.24E-01,8.35E-01,1.86E-01,4.43E-01,0.0142,0.0000,8.21E-01,8.44E-01,0.9872
FBgn0263530,mir-4917,pre_miRNA,X:14093578..14093654,1.23E-184,5.81E-184,5.76E-02,2.22E-01,0.0135,0.0000,3.25E-01,4.10E-01,0.1618
FBgn0263531,mir-4955,pre_miRNA,X:2438773..2438941,2.43E-01,2.58E-01,1.66E-01,4.17E-01,0.0475,0.0202,1.19E-01,1.90E-01,0.9316
FBgn0263532,mir-4962,pre_miRNA,X:3671415..3671538,8.78E-02,9.55E-02,7.82E-01,8.93E-01,0.0000,0.0000,8.05E-01,8.30E-01,0.9974
FBgn0263533,mir-4973,pre_miRNA,2L:20562298..20562448,5.64E-05,6.86E-05,1.59E-01,4.07E-01,0.0591,0.0089,1.73E-01,2.53E-01,0.9101
FBgn0263534,mir-4960,pre_miRNA,X:463936..464036,7.92E-03,9.02E-03,7.53E-01,8.79E-01,0.0000,0.0000,5.77E-01,6.37E-01,0.9918
FBgn0263536,mir-4974,pre_miRNA,2L:21263933..21264034,2.39E-02,2.67E-02,1.41E-01,3.78E-01,0.0148,0.0000,8.70E-01,8.86E-01,0.9796
FBgn0263537,mir-4951,pre_miRNA,3R:17142438..17142587,2.72E-28,4.52E-28,9.48E-01,9.76E-01,0.0000,0.0766,2.05E-03,6.63E-03,0.7677
FBgn0263538,mir-4965,pre_miRNA,X:16500141..16500227,1.00E+00,1.00E+00,9.18E-01,9.62E-01,0.0000,0.0222,2.30E-01,3.15E-01,0.9792
FBgn0263539,mir-4978,pre_miRNA,2R:9893365..9893511,1.42E-12,1.99E-12,5.30E-01,7.48E-01,0.0000,0.0313,1.42E-01,2.18E-01,0.9000
FBgn0263542,mir-4954,pre_miRNA,X:1923037..1923127,1.22E-03,1.43E-03,3.48E-01,6.11E-01,0.0000,0.0000,3.81E-01,4.63E-01,0.9873
FBgn0263543,mir-4979,pre_miRNA,2R:19621556..19621664,6.60E-01,6.74E-01,6.78E-01,8.37E-01,0.0000,0.0000,9.23E-02,1.56E-01,1.0011
FBgn0263544,mir-4949,pre_miRNA,3R:27044996..27045094,5.77E-09,7.66E-09,3.36E-01,6.03E-01,0.0168,0.0699,5.07E-03,1.44E-02,0.8692
